num,yado,yomi,seikaku,tekisyoku,okane,kenkou,renai,kaiunn,sub_seikaku,sub_tekisyoku,sub_okane,sub_kenkou,sub_renai,sub_kaiunn
11,危宿,きしゅく,好奇心旺盛で平凡を嫌い、新しいもの好きで風変わりなものを好む人です。そして、「危」の字が示すように、物怖じする事なく、冒険的な道を歩んで行く強さがあります。フレキシブルな融通性を持っていますが、思いこみが激しく、熱中するものや興味の対象はコロコロと変化し気分屋な面も。しかし、知的思考が強く、自由を奪われることを嫌い、独自の考えやスタイルに強いこだわりを持っているので、夢や幻想の世界に流されることを好みます。また、不自由な安定よりも、不安定な自由を好み、理性よりも感性の面が強い傾向にあるので、 直感力と美的センスを活かし、器用さと独特のアイデアをうみだすことで才能が活かされていくでしょう。,仲間意識が強く、チームワークを大切にします。人々の創造性を刺激する役割があり、連帯感が必要な仕事、人と手を携えて取り組む仕事に向いています。トレンドを敏感に察知し、革新的なアイデアで創意工夫が得意なあなたは、技術分野・企画開発・学術研究・医薬関係・マスコミ関係・広告関係・出版に適性があります。その他に、航空関係なども吉。,きちんと計画を立てて効率的にお金を管理するのは苦手なあなたです。 それよりもお金を使って得た価値に目を向けるほうが得意です。 お金は使うためにあり 「お金は天下の回りもの」「今のピンチをそんなに嘆げくことはない」という気持ちが強いかもしれません。お金を使って得た価値をもとに、どのように次のチャンスをつかむかを考えると金運上昇するでしょう。しかし、のめり込んだら、とどまる所をしらないのでギャンブルや投資は、盲目的な一面があるのでご法度です。 そんなあなたには、きちんとお金の管理ができる人物から、マネーセンスを習得することで、着実に貯金ができるようになるかもしれません。,骨盤や股関節などのズレに注意。また、血行障害を起こして、頭痛・冷え性・肩こり・腰痛・胃腸障害・消化不良・便秘・下痢を繰り返すときもあるので、大腸のポリープなどの病気には用心。不調になった時は、無理を続けずに早めの受診を心がけることが大事です。,知的でクールさが漂うあなたは、独自のスタイルと個性がとても魅惑的。常識に縛られないユニークな発想が斬新すぎて誤解を受けることも多いかも。基本的に自分のことが大好きで、好奇心も旺盛なので、恋愛対象もコロコロと変わりやすいでしょう。波長が合わないからといって、知らぬそぶりをしてしまうようでは、幸せにはなれません。また、アブノーマルな遊びや不倫には要注意。,逆境を乗り越えること。試練をどのようにして乗り越えるかで、人生の色合いも大きく変わります。何か苦難に遭遇したときは「これは試練を乗り越える課題に違いない」と、ピンチをチャンスに変えましょう。防御の姿勢よりアグレッシブに問題に取り組むことが得策。人に理解されないことでも自分が好きなら続けるという、強さをもって進むことで運気が上昇するでしょう。,好奇心旺盛で平凡を嫌い、新しい,仲間意識が強く、チームワークを,きちんと計画を立てて効率的にお,骨盤や股関節などのズレに注意。,知的でクールさが漂うあなたは、,逆境を乗り越えること。試練をど
12,室宿,しつしゅく,ユニークで現実をダイナミックに動かす実力を兼ね備えた人です。そして、「室」の字から読み取れるように、自分の〝室〟である個性を表す部屋をしっかり持ち、自分を見失わない強さを秘めています。自由で創造的な感性に恵まれ、傍若無人としての印象が強く、自信に満ちあふれる言動や行動で、周囲を驚かせ圧倒させる面も。そして、斬新で革新的な考えを美徳としています。自分のアイデアに自信があるので他者の追随をゆるしません。また、エネルギッシュで独特な個性を持ち、周りを見逃さず、さりげない目配りで独自の地位を築き、強烈な存在感で勝利を目指していきます。,チームワークを大切にして、連帯感を携えて取り組む能力があります。自由で大胆な発想力で才能が発揮できる仕事が向いています。「実力運」を持つあなたは、画期的な着想力と大胆な発想が得意な努力家なので、企画開発・技術開発・販売戦略・マスコミ関係・広告関係・美容関係・美術関係・音楽関係・芸術分野に適性があります。独立起業も吉。,金銭に関しても豪快に使う大胆さと、緻密な計画さの二つを併せ持つあなたです。名声運・出世運にも恵まれているので収入も段階ごとに上昇。それに伴って、返報性も大切にするあなたなので、沢山の縁や運を手にすることも多いはず。ただ、肝も据わっていて貪欲で強引な面があるので、冷静な判断力を持った尊敬できる人物との交流が必要。その人物の考えを学び、取り入れることで知識の幅も広がりあなたの存在運と金運がともにアップするでしょう。,ストレスが重なると、血行障害からくる胃腸障害・腎臓病・膀胱炎を患いやすい傾向があります。また、手足の冷えや、けいれん、足のケガに注意が必要。定期的な診断など、先回りして対処するよう気をつけておくと、持ち前のパワーを存分に発揮することができるでしょう。,常に高いポリシーを持つあなたは、恋愛も同様と考えます。高い理想を抱き、幻想的な恋やセレブ的な環境での恋に憧れることが多くあります。誰に対しても、分け隔てなく接することができるので人気は抜群。どれほど相手を好きになっても、束縛されることを嫌う傾向が。年齢の離れた恋愛や、自分とは全く異なるバックグラウンドを持つ異性に惹かれたり、禁断の恋に身を投じることも。好きな人と共有する時間をもっと大切にすること。また、恋のトラブルに遭遇しても、いたずらに恐れず、その災いは必ず福に転じると強く信じましょう。,目上のアドバイスを聴き入れ、冷静な判断力を養いましょう。相手の考えを取り入れることで知識の幅も広がり、あなたの持ち前の存在感は確実にアップ。大胆な戦略と緻密な策略、この相反するセオリーを操ることができれば、大きな偉業も成し遂げられます。興味のある人物が現れたら、自分からコンタクトをとる努力をすると、新たな人間関係が始まり、人生がガラリと変わることもあるでしょう。,ユニークで現実をダイナミックに,チームワークを大切にして、連帯,金銭に関しても豪快に使う大胆さ,ストレスが重なると、血行障害か,常に高いポリシーを持つあなたは,目上のアドバイスを聴き入れ、冷
13,壁宿,へきしゅく,温厚、世話好きで優しく、周囲から好感をもたれ、内に秘めた直感や情緒豊かな芸術的センスに恵まれた人です。そして、「壁」の字が示すように、自分が壁になって人を護る姿勢や、なにかと相談を受け、頼りにされる面があります。頼まれたら断れずに善意を施し、それが転じて利用されたり、だまされたりして、精神面で壁を作り踏み込ませない面も。しかし、信心深く、困っている人を見ると、放っておけず自分を犠牲にしてまで、救おうとする精神が宿っています。また、転んでもタダでは起きない粘り強さを持ち、冷静な観察眼と分析力で自分の好きな事は、どこまでもとことん熱中し独自の足場を築いていくでしょう。,独特の精神世界を活かしながら、クリエイティブな世界で活躍する役割があります。また、世話好きで、人助けに関しては抜群の才能を発揮します。心と心の触れ合いの中で人をサポートする、保健衛生・福祉事業関係・ファイナンシャルプランナー・コンサルタント・秘書・公務員・経理に適性があります。,蓄財運に恵まれているあなたは、無駄な出費をすることは滅多になく、倹約しながら手元のお金を上手に殖やして行くことができます。ただ、ギャンブルや投資は人から誘われてしまうと、断れずにお金を使ってしまう弱い面がでるので、手を出さないほうが無難でしょう。また、人の良さに付け込まれ、騙されてしまう危険性がないように参謀的な人物の意見を取り入れることで、駆け引きや交渉術が身について持っている金運が強まっていくでしょう。,ストレスから血行障害を起こしやすく、足のケガ・手足の冷え・外反母趾・タコなど足の病気、交通事故による足のケガ、特に左腿に注意。また、靴選びの際には足が楽なものを選ぶなどの配慮が必要。心身共にデリケートな性質なので、慢性疲労から脾臓の病気を患いやすい傾向が。,あなたは「人を支えたい、人に尽くしたい」という気持ちが、極めて強いので、献身的で強い愛情に満ちあふれた恋をするでしょう。想像力が豊かで、どこか夢見がちなタイプ。愛する人には誠心誠意に尽くすでしょう。ただし、一度嫌になるとアッサリ別れてしまうような気まぐれなところも。ひとりよがりではなく、客観的な視線を持つこと。四六時中、相手のことばかり考えたり、余計なお世話が過ぎると、悲恋を味わうことになりそう。ときに相手の要求を断る強さも大切。,自分自身の内面の声に耳を傾けること。内側から湧き出る発想に従うことで、不可能を可能にすることができます。芸術的な感性で誰も思いつかないようなモノを創り出すことも。一度悩み始めると物事を突き詰めて考えてしまうので、音楽を聴きながら絵を描いたりすることで、内なる心の世界を広げることが出来るでしょう。また、今までの経験で身につけた技能は大きく開花する暗示があります。迷いが生じたときは自分のインスピレーションにしたがうことを忘れずに。,温厚、世話好きで優しく、周囲か,独特の精神世界を活かしながら、,蓄財運に恵まれているあなたは、,ストレスから血行障害を起こしや,あなたは「人を支えたい、人に尽,自分自身の内面の声に耳を傾ける
14,奎宿,けいしゅく,気位が高く上品で、清潔感に包まれ、とても礼儀正しく精神性の高い人です。そして「奎」の字を読み解くと、「学問の心を導き」とあります。人に対しても学びの姿勢を保ち、温厚柔和で人助けや奉仕精神が強く、周りからも好かれ魅力があります。未知の世界であっても、びっくりするぐらい大胆にのめりこんだり、感情に流されて依存しやすい傾向も。しかし、カンや閃き、そして豊かな直感力と想像力に恵まれています。真面目で正義と誠実が表面化していて優しいです。常に健全を願い、見せかけだけの軽薄な人や対立を嫌う傾向があるでしょう。,創造性を活かしながら芸術分野で、のびのびと才能を発揮できるでしょう。組織に縛られない仕事に向いています。上品で美しいものに魅かれるので、芸術に触れることや、知的で向学心に溢れる、医学・薬学関係・教職・研究職・化粧品に適性があります。水産業・海運業・福祉関係・保健衛生関係・自営業も吉。,お金に対して楽観的なあなたは、積極的な貯蓄は苦手なタイプかも。しかし、何事にも模範的でありたいと願っているので、無駄になるような買い物は滅多にしません。けれども、何かに熱狂的にのめりこみ、一度熱くなってしまうと、融通の利かない執念深さが出てくるときが。それゆえ、ギャンブルや投資は避けるほうが無難です。サイドビジネスに長けている人物と交流すれば、収入を増やす手段が見つかり貯金をすることができるでしょう。,手足の冷え、膝に関わる病気やケガに注意。また、靴が原因で外反母趾や足を痛めやすい傾向も。突発的な高血圧・喉・気管支などの病気にも気をつけましょう。膝の病気、高血圧や気管支に注意が必要。日頃からの不摂生や、不規則な生活がカラダに悪影響を及ぼすことも。難しい健康法に頼るよりも規則正しい生活から始めましょう。,あなたは思いやりにあふれ、深い愛情を注ぐことができるので異性にモテます。しかし、好きな相手には、激しい感情移入や強度に依存し過ぎる傾向があります。内側に強い情熱が潜んでいるため、パッションを駆り立てるような恋愛を望んでいる一面が。秘密の関係を持ちやすく、二重の恋に陥る可能性も高いでしょう。すべての物事を規則や形式で決めようとしないで、ユーモアのセンスを身につけること。そうすればロマンティックな恋のチャンスが増え、持ち前のめぐまれた恋愛運が発揮できます。,カンに頼りすぎて物事の理論を疎かにせず、論理的に結論を出すリアリストな考えを持つこと。また、文才力があるので、文章や文学との関わりを積極的に増やせれば運気アップに繋がります。そして、浮かんだアイデアを実用的に落とし込こんでいくと、予想以上の結果に繋がります。それには、自分の才能発掘を惜しまず実行しましょう。そうすれば天からの導きが得られ大きな幸運が訪れるでしょう。,気位が高く上品で、清潔感に包ま,創造性を活かしながら芸術分野で,お金に対して楽観的なあなたは、,手足の冷え、膝に関わる病気やケ,あなたは思いやりにあふれ、深い,カンに頼りすぎて物事の理論を疎
15,婁宿,ろうしゅく,曲がったことが大嫌いで、燃え上がるような正義感と勇敢さと共に、親しみやすさ溢れる面を持ち合わせた人です。そして、緻密な分析力や検索力に優れています。自分の考えを押し通し、思ったことは「物申す」の姿勢で、意見や発言を言わないと気が済まない気持ちと、自己主張が強いので考えを曲げない強情な面も。しかし、直感から湧き出るアイデアの豊富さとセンスもあり、多彩な才能に恵まれています。また、バイタリティーのある抜群の精神と行動力で、一度決めたら無我夢中で、必ずやり遂げる情熱と向上心で生き抜いていくでしょう。,スピーディーな決断と行動力があるので競争力の激しい職種に向いています。「人気運」を持つあなたは、気遣い、気配りの機転が利き、接客業務の職種にあたると能力が発揮されます。営業関係・販売業界・広告業界に適性があります。その他に、レポーターなどのマスコミ関係も吉。,まっすぐで一本気なあなたは、迷いのない素早い決断力で損得勘定を敏感に察知する、ズバ抜けた能力と計算強さがあります。しかし、一度火がついてしまうと無我夢中で突っ走り冷静に考えられなくなってしまう面も。競争心と負けん気の強さで、引き時を見失ってしまいがちなので、ギャンブルや投資はご法度です。鋭敏な感知力があるので、知的で社交的な人物との交流をもつことでビジネスセンスが磨かれて地位やお金も得ることに。,動きが俊敏で行動範囲も広いので、バイタリティーが裏目に出ないよう、交通事故や打撲などに気をつけましょう。疲労やストレスが溜まっても頑張ってしまう性格なので、頭痛・高血圧・脳出血・脳梗塞などが出やすく、意外に虚弱体質なタイプが多いので日頃の健康管理は大切です。,"あなたは、メラメラ燃えたぎる炎のように情熱的です。恋愛も同様に、激しく一途な愛情を注ぎ、相手を追い求めていくことが多いでしょう。穏やかな恋愛には無縁です。退屈な日常を打ち破ってくれるような刺激的な恋を求めているため、言い寄られる恋には無関心。ときには略奪愛もいとわない滑稽な手段にでることも。年齢の離れた関係のほうが、意外にうまくいくでしょう。
後先を考えずに行動したり、思いやりに欠ける発言ばかりでは恋は一方通行。一歩引いて受け身でいるくらいがベストと心得ましょう。",直情的な行動を改め、ときにはじっくり考えてから結論を導き出しましょう。そのために、衝動的な行動をすこし抑えることも大事。知的で社交的なセミナーやパーティーなどの交流に出向いたり、参画すればしだいに成熟したまろやかな魅力と、広い視野から観察する力が備わってきます。そして、思ってもみなかった幸運をキャッチし、上昇気流の運気に乗れるでしょう。,曲がったことが大嫌いで、燃え上,スピーディーな決断と行動力があ,まっすぐで一本気なあなたは、迷,動きが俊敏で行動範囲も広いので,あなたは、メラメラ燃えたぎる炎,直情的な行動を改め、ときにはじ
16,胃宿,いしゅく,オリジナリティー豊かなパワーと、闘争心旺盛な行動力に優れ、とても自信満々で度胸のある人です。そして、何事も飲み込み吸収する力があります。好き嫌いがハッキリしていて明暗が顔に出やすい。 強い個性とプライドも強く、何事も思い通りに進めたがる個人プレイ的な面があり、そのはみ出した勢いのある行動が原因で周囲から反感を買う傾向も。しかし、スピーディーで頭の回転が速く、運を掴むチャンスとタイミングの速さは抜群です。また、好奇心旺盛で強いリーダーシップ力を発揮することで、多くの人が集まり、ユーモアセンスも豊かで自分の人生を切り開いていく力があります。,競い合いながら新たな価値や需要を生み出すパワーが備わっています。人の先頭に立ち開拓精神で新しいフィールドに挑む役割があり、競争の激しい仕事に適しています。抜群の「勝負運」の持ち主なので、競争意識を活かせる営業職に向いています。スポーツ関係・ファッション関係・貿易関係・飲食、食品関係にも適性があります。独立起業は吉と出るでしょう。,闘争心旺盛で迷いを見せないあなたは、視界に入るマネーチャンスを、多少大胆にも見えるやり方で手元に引き寄せることができます。また、勝負運があるのでギャンブルや投資は吉と出ますが、引き時を見失うと大損するので平常心を忘れずに。投資や出費は損と思わず、さらに稼ぎだしたお金をコミュニケーションで使えば信頼関係が深まります。そして、グローバルな視点を持つ人物と交流すると大金を得るチャンスに恵まれるでしょう。,"健康には自負があり強靭な肉体を持っていますが、足腰の病気やケガ・手足の冷え、には注意が必要です。薬剤に詳しく健康には留意しますが、胃宿の胃を示しているので飲み過ぎ食べ過ぎにも注意を。ときに短気で頭に血がのぼりやすいので脳出血・脳梗塞などにも用心が必要。
",情熱的で、人目を引く魅力に包まれているあなたは、女性は相手をリードする姉御肌、男性は頼りがいのある存在。女性は特に年下の異性に一目惚れされやすいでしょう。障害のある恋愛もいとわず、情熱的に相手を愛しますが、相手のすべてを奪い取ろうとするところがあり、束縛したり嫉妬深くなったりします。また、人目惚れしやすい傾向も。客観的に自分を見つめることが何よりも大事。勢いだけで突き進むと後でひどい目に遭うので注意しましょう。「自分に必要な恋愛とは何か」と、思いをはせることが必要です。,人が真似できないようなオリジナリティーを追求しましょう。持ち前の独特な美意識を開花させることができれば、大きく開運します。グローバルな視点を持つことも大事ですが、直感ばかりを優先するのではなく、ときには手順を重視し、計画的に物事を進めていれば運気はさらにアップします。また、食へのこだわりが運気の底上げに繋がるので、思う存分美味しい物を食しましょう。,オリジナリティー豊かなパワーと,競い合いながら新たな価値や需要,闘争心旺盛で迷いを見せないあな,健康には自負があり強靭な肉体を,情熱的で、人目を引く魅力に包ま,人が真似できないようなオリジナ
17,昴宿,ぼうしゅく,言葉の表現や態度がエレガントな人です。そして、頭の中でまとめる能力に長けています。知的な魅力に溢れ、頭脳も明晰です。剛柔の二面性があり、表面は穏やかに見えますが、内面は情熱が沸騰し激情に駆られることも。ただ、チャンスが到来したここ一番の時に躊躇してしまいます。それは、理想と現実の狭間でイラつき、理性と感情のバランスが崩れるからです。しかし、持ち前の持久力と適応力で乗り越える力を持っています。また、芸術的で都会的なセンスがあり、本物志向の美学を持ち、物事の本質を見極めて、威風堂々とした姿勢で存在感を主張していきます。,"開拓精神があり、また、信念に忠実なので、その分野でスペシャリストになる役割があります。目上から寵愛を受け、下からは慕われる「引き立て運」を持つあなたは、社会的に恵まれた位置について特性を活かす事が出来ます。美容関係・ファッション関係・文芸関係・芸術関係・執筆業・評論・翻訳関係に適正があります。五感の味覚を発揮して、飲食・食品関係・パティシエ・シェフも吉。
",周囲からの引き立て運に恵まれているあなたは、信頼ある行動と謙虚な態度から、手元に財が引き寄せられてきます。そして、気持ちも優雅な立ち居振る舞いを美徳としガツガツしてないので、お金に対しての執着心が少ないようです。しかし、昂ぶる感情が抑えきれないときがあるのでギャンブルなどはご法度です。また、頭脳明晰ですが、固執する面があるのでエキセントリックな感性を持つ人物との交流が大事。情報のやり取りをする中で、斬新なアイデアが閃いて金運も上昇していくでしょう。,偏頭痛・高血圧に悩まされやすく、さらにはそこから脳溢血・脳梗塞になるケースも少なくないので注意しましょう。ストレスに弱い体質なので、神経性の病気や自律神経失調症を引き起こしたり、神経性胃炎になりやすい傾向もあるので普段から健康管理が必要です。,セレブ志向で外見にこだわるあなたは、恋のハードルはかなり高めです。快楽主義的な反面、簡単には他者を受け入れられないという、ちょっと複雑な恋愛観の持ち主です。上昇志向でプライドが高く、選り好みが激しいあなたは、自分にとってプラスになる異性との交際を強く望む傾向があります。理想はかなり高く、ルックスと実力を持ち合わせた異性を好みますが、好きな相手には冷たくしてしまうなど矛盾した面も。損得を考えずにさまざまな分野の異性とお付き合いすること。また、勝手な思い込みをやめて、相手の欠点を受け入れることも必要。傷つくことも恐れないで、もっと積極的に相手の胸に飛び込みましょう。,柔軟な感性を備えること。繊細な感覚と鋭敏な頭脳を持ち合わせているので、どうしても自分の考えに執着してしまう傾向があります。しかし、折角授かった能力を有効的に使うことがポイントです。ひとつとして、他人の助けを借りる方法も得策。異業種交流会やセミナーなどに出向くことで、人脈形成も広がり、援助を得て、持っている運気が倍増されていくでしょう。,言葉の表現や態度がエレガントな,開拓精神があり、また、信念に忠,周囲からの引き立て運に恵まれて,偏頭痛・高血圧に悩まされやすく,セレブ志向で外見にこだわるあな,柔軟な感性を備えること。繊細な
18,畢宿,ひつしゅく,見た感じの印象は穏やかで愛情豊かなイメージの人です。しかし、内面は体力と精神力の強さに恵まれています。そして、すべてにおいて最後までやり遂げる忍耐力があります。自分のスケールで物事を理解する傾向があるので、人の意見が耳に入らず、頑固で自己中心と思われるときも。しかし、自分の世界観をしっかり持ち、一歩一歩スローなペースで、行動はマイペースですが、粘り強く貫くパワーがあるので周りからの信頼度が構築されます。また、年齢と共に実力を蓄え、大器晩成型の運勢でもあります。家族との結束を大切にして、地道にコツコツと着実に頭角をあらわし進んでいくでしょう。,職人的なこだわりを持って、地道な努力を続けて行くので、その分野で能力を発揮し頭角をあらわすでしょう。好きな事に対しては思う存分没頭できる根気強さとバイタリティーの持ち主です。 「蓄財運」に恵まれているあなたは、お金を動かす仕事として財務・経理・銀行員・税理士・会計士・経営コンサルタントに適性があります。その他に、研究職・技術職・芸術・芸能・美術工芸・美容・香料・園芸・畜産も吉。,増財運に恵まれているあなたは、お金の管理に関してはピカイチの才能を持っています。それゆえ、ギャンブルなどの一攫千金を夢見るよりは地道に働いて貯めていくタイプです。財布の紐を緩めて友人や家族と、ゆったりした交流の時間を分け合うことで財運はさらに上向きに。ただ、資金運用も抜け目なく堅実である一方、尻込み傾向があるので大胆な発想をする人物との交流で、お金に関してのラッキーヒントが得られるかも。,気力、体力に恵まれ、生命力溢れる強靭な肉体の持ち主。病気に対しても強い抵抗力を持っています。しかし頭痛・脳出血・脳梗塞など脳の病気や額の怪我には注意が必要。心身ともに頑強なのでギリギリまで身体を酷使して、過労にならないように気をつけましょう。,温かみにあふれ、穏やかなあなたは、母性的な魅力と包容力も持ち合わせているので異性からモテるタイプです。一つ一つの恋愛に対して、じっくりと時間をかけて育みます。好きな相手には最後まで愛を貫きますが、ときに相手にしつこくまとわりつくことも。独占欲を抑え、大地に根をはる大木のような、ゆるぎない強さを身につけることです。自分が愛したぶん、相手からも深く愛されたいと願うのではなく、無償の愛を注ぐことが必要です。,ものごとに執着しないで、思いきって手放してみましょう。追い詰められるほどに、パワーを発揮する力を持っているので、熱意が強まるほど発奮して、磁石のようにチャンスを引き寄せるでしょう。また、発想が固定化されやすい面があるので、強烈な個性を持っている人との出会いを通して、今までにない領域に踏み込みましょう。そうすることで、あなたを新しい世界へと導いてくれるでしょう。,見た感じの印象は穏やかで愛情豊,職人的なこだわりを持って、地道,増財運に恵まれているあなたは、,気力、体力に恵まれ、生命力溢れ,温かみにあふれ、穏やかなあなた,ものごとに執着しないで、思いき
19,觜宿,ししゅく,知的で論理的、礼儀正しく温厚な面と、アクの強い部分の内と外の二面性があります。エネルギーが旺盛で、饒舌で流れるような会話力と説得力のあるトークに長けています。何かに夢中になると、もう一方では冷静になり、豊富な知識を使って抜け目なく立ち回り、計算高い面を得意とすることも。また、慎重で思慮深く、はめを外す事なく適切な対応ができるので、損な選択をすることはありません。物事をテキパキ処理し、何事においても先頭を切る闘士型と人をさとす教祖型の力があります。その相反する力を活かせれば、周囲から多くの支援を得られるでしょう。,自分の信念に忠実なので、一つの技術を取得して、その分野で成長と発展を遂げるでしょう。また、頭の回転が早く、緻密な計算と巧みな対応を得意としています。「物質運」を持つあなたは、社会的地位の高い、弁護士・行政書士・税理士・学者・政治家に適性があります。知識と情報に関係ある、作家・評論家・出版・広告関係・秘書・マネージャーも吉。,思慮深く観察力の鋭いあなたは、高い計算能力でキャッチした最先端の情報を活かすことができ、それをもとにして資産運用することが得意です。そして、もともとが蓄財運に恵まれているので、お金がお金を呼び大きな財を成すことができるでしょう。ただ、非常に神経質な面があるので、天真爛漫に振る舞う人物と交流することが必要です。相手の価値観を共有することで、思考回路が転換されて金運アップのアイデアが閃めくでしょう。,眉間にしわを寄せて考え込む傾向が強いので、偏頭痛・高血圧・顔面のケガにも注意が必要。神経が細やかなので、対人ストレスからアレルギー性鼻炎・喘息・大腸の病気として身体に出てくるようです。病気をすると長引く傾向があるので、日頃の健康管理をしっかり行うことが大切です。,容姿に恵まれた人が多く、上品な素振りを見せるのが上手なあなたは、異性からのアプローチは多いですが恋愛に対して慎重で、相手の素性がはっきりしないうちは、今一歩踏み込めずにブレーキをかけてしまう面があります。でも一方で、恋の策略を練る駆け引き上手な部分もあり、周囲から見ると「いったいどちらが本当の姿なのか」困惑してしまうことがあるかもしれません。,持ち前の美的感性を磨くこと。そして、さまざまなことができるタイプなので、最後までやり遂げること。たとえば、美の情報を得たら実際にその場所に行ってみて体感しましょう。美容に触れ、美のグルメを味わい、美術や芸術に触れることで知識も深まり、奇抜なアイデアが閃くことも。得た情報を周囲にアピールすることで、美の幸運を手に入れることができるでしょう。,知的で論理的、礼儀正しく温厚な,自分の信念に忠実なので、一つの,思慮深く観察力の鋭いあなたは、,眉間にしわを寄せて考え込む傾向,容姿に恵まれた人が多く、上品な,持ち前の美的感性を磨くこと。そ
20,参宿,しんしゅく,エネルギーとパワーに満ち溢れ、とても大胆で明るく、荒ぶる風のように、意のままに駆け抜ける強さを持ち、自信に漲っている人です。そして、何にでも何処にでも参加する好奇心が人一倍旺盛。頭の回転が早く、情報キャッチが得意なので、コミュニケーション能力を発揮しながら、交友関係を拡大させます。ただ、相手の胸にずかずかと遠慮なく入り込む豪快さは、周囲を驚かせ、毒舌で相手の反感を買うことも。しかし、言葉の表現力にも優れ、発想力も豊かなタイプです。また、愛嬌とピュアな魅力があり、人徳があるので、人に愛されて出世する運勢を持っています。,ユニークな発想と情報収集力に長けているので、人々のニーズを伝達する役割があります。アイデアを活かしながら持ち前の商才を発揮できます。誰に対しても明るく陽気で人当たりが良い「人気運」と鮮やかな表現で知識を伝播する「対人運」を持つあなたは、美容師・放送・出版・旅行・教育関係・情報伝達業に適性があります。その他に、美容関係・ファッション関係も吉。,流行に敏感なあなたは、時代の流れを見極めながらその時々で有利な方法を見つけて、着実にお金を増やしていく財テク上手と言えます。また、お金を稼ぐ能力に長けていますが、刺激を求めて浪費する癖があるので、堅実な金銭感覚を持つ人物と交流を。そうすると、散財も減ってしっかりとしたマネーセンスが身につき運気もアップするでしょう。,基本的には体力に恵まれていますが、アレルギー性鼻炎・気管支喘息に気をつけて。体力を過信しての不摂生などから、肝臓・膀胱炎などに。体重増加による足のケガや関節症を重症化させることも。また、交通事故には注意を。,"積極的に新鮮な愛を求めるあなたは、ウイットに富んだ会話術で相手を惹きつけ魅了します。ときに、毒舌で辛辣な発言で相手を傷つけてしまうことも。どろどろした恋愛には無縁で、別れも実にアッサリしていて未練がありません。自分の話より聴き上手になりましょう。そして、相手の闇の部分もしっかり受け止めることができれば、真実の愛に目覚め、恋の勝利者になれるでしょう。

",リベラルな考えに徹すること。ただ危険性も併せもつので、堅実な物の考え方ができると、しっかりとしたマネーセンスが身につきます。たとえば、証券会社や投資コンサルタントなどから、情報の収集をすることで大きなヒントが得られるでしょう。また、肝が据わっているあなたなので、常に何かにチャレンジする精神で冒険の心を持ち続けることが、運気アップとなるでしょう。,エネルギーとパワーに満ち溢れ、,ユニークな発想と情報収集力に長,流行に敏感なあなたは、時代の流,基本的には体力に恵まれています,積極的に新鮮な愛を求めるあなた,リベラルな考えに徹すること。た
21,井宿,せいしゅく,コミュニュケーション能力が高く、知的でシャープな頭脳を持ちドライな雰囲気を漂わせながらも、奉仕精神のある人です。きちんと区切りがあって、几帳面さが全面に出るため、計算に強く、頭の回転も早いです。そんなクールなところが合理主義者で冷酷な人に見られるときも。何かと論争を好む傾向があり、駆け引き上手の頭脳派です。人と話すことが大好きで、理性と感情を絶妙にコントロールする会話能力に長けています。また、内面は気前が良く、情報や物を惜しまず与えます。人に尽くす精神ときめ細かい心優しい面を活かしましょう。,交渉力に不可欠な能弁さと情報収集力に長けています。また機転が利き、状況を的確に把握する能力があります。包容力と奉仕精神が活かせる分野の仕事にも向いています。「所有運」に恵まれるあなたは、頭脳プレイを発揮し、目標達成に向けて、高い精度でマスターしていく実力があるので、企画営業・貿易関係・外交官に適性があります。生活に密着した、服飾・食品・飲食関係・住宅・インテリア・サービス業も吉。,物質運・所有運に恵まれているあなたは、自然と手元にお金が集まってきます。さらに、適切な方法を選んで蓄財を殖やす努力も熱心。ただ、自分の選択が思うようにいかないと、人に依存してしまい、むやみに相談して悪意のある相手に利用される危険性も潜んでいます。また、知識が豊富なだけに合理的に判断してしまう傾向が。権威ある人物との交流を深めることで、大きな学びとなり知識欲も満たされて金運も上昇するでしょう。,風邪・肺炎・アレルギー性鼻炎・喘息に始まり呼吸器系の病気に注意。神経質なので過度のストレスによる胃潰瘍・肝臓病などさまざまな部分に疾患として表れる可能性が。また、ストレス性の難聴といった神経症の発症にも注意が必要でしょう。,場の空気を読むのが得意なあなたは、スマートな会話術で異性を惹きつけます。ただ、相手が夢中になると、そのアプローチをサラリとかわします。理想が高く、現実的な面があるので、完璧な恋愛を求めるでしょう。甘えたり、突き放したりと恋の駆け引きも絶妙。本気で人を好きになれず、恋に打算が働いてしまうことも。相手の出方を待つより、自ら相手の胸に飛び込むことが必要です。失敗を恐れずにチャレンジすれば、目先の不安は不思議と消え去っていくでしょう。,依存心をおさえて独自の考えを優先すること。マルチの才能を持ち、情報を吸収することが得意なので自信を持ちましょう。あなたの持つ知識や情報は必ず人のためになるので発信することが運気アップの秘訣に。その情報を流すことで、自分が欲しいと思っている情報も自然に返ってきます。また、学ぶことが大好きなあなたなので、資格取得にチャレンジすれば、持ち前の知識欲も満たされるでしょう。,コミュニュケーション能力が高く,交渉力に不可欠な能弁さと情報収,物質運・所有運に恵まれているあ,風邪・肺炎・アレルギー性鼻炎・,場の空気を読むのが得意なあなた,依存心をおさえて独自の考えを優
